timestamp,time_iran,month,day_of_week,day,hour,open,high,low,close,volume
1756566000000,2025-08-30 18:30:00,8,5,30,15,4.677594988955427e-05,4.7558130024999605e-05,4.284487714833853e-05,4.6822180551221895e-05,3308.2919166902675
1756566060000,2025-08-30 18:31:00,8,5,30,15,4.6822180551221895e-05,4.683919477322117e-05,4.103375192615445e-05,4.117727320850585e-05,2251.9713639942856
1756566120000,2025-08-30 18:32:00,8,5,30,15,4.117727320850585e-05,4.2094484823875945e-05,3.761808284356555e-05,3.883325337925591e-05,1930.3870232718145
1756566180000,2025-08-30 18:33:00,8,5,30,15,3.883325337925591e-05,4.06306308716822e-05,3.712980319130832e-05,3.7552456424729055e-05,1345.2433102178709
1756566240000,2025-08-30 18:34:00,8,5,30,15,3.7552456424729055e-05,4.182988505653708e-05,3.506783087378984e-05,3.621690563598568e-05,2812.0191402906685
1756566300000,2025-08-30 18:35:00,8,5,30,15,3.621690563598568e-05,3.9341967666125e-05,3.621690563598568e-05,3.747108210632854e-05,3036.757025010522
1756566360000,2025-08-30 18:36:00,8,5,30,15,3.747108210632854e-05,4.0776028068662924e-05,3.744358541904951e-05,3.950060342436909e-05,728.1374807006481
1756566420000,2025-08-30 18:37:00,8,5,30,15,3.950060342436909e-05,4.379470158004401e-05,3.950060342436909e-05,4.088653873375512e-05,1691.9783340417557
1756566480000,2025-08-30 18:38:00,8,5,30,15,4.088653873375512e-05,4.4222480041842836e-05,4.082262582299997e-05,4.399116064738567e-05,1563.7603182858172
1756566540000,2025-08-30 18:39:00,8,5,30,15,4.399116064738567e-05,4.4465129922054366e-05,4.1091348648630504e-05,4.1091348648630504e-05,894.8045390225495
1756566600000,2025-08-30 18:40:00,8,5,30,15,4.1091348648630504e-05,5.524958805455822e-05,3.743605466035843e-05,5.131584973459602e-05,6387.918706868989
1756566660000,2025-08-30 18:41:00,8,5,30,15,5.131584973459602e-05,5.341454243614072e-05,4.955350658090424e-05,5.0249323981332016e-05,2818.2400257598756
1756566720000,2025-08-30 18:42:00,8,5,30,15,5.0249323981332016e-05,5.0249323981332016e-05,4.0361285527507266e-05,4.169191480638518e-05,5271.098289810834
1756566780000,2025-08-30 18:43:00,8,5,30,15,4.169191480638518e-05,4.538491052906506e-05,4.014479083790239e-05,4.4380499234477805e-05,2319.0924741436324
1756566840000,2025-08-30 18:44:00,8,5,30,15,4.4380499234477805e-05,4.4380499234477805e-05,3.669777168180759e-05,3.942949928530446e-05,2152.019333891626
1756566900000,2025-08-30 18:45:00,8,5,30,15,3.942949928530446e-05,4.067449765114531e-05,3.466836089377116e-05,3.5282109815266905e-05,3224.849871702584
1756566960000,2025-08-30 18:46:00,8,5,30,15,3.5282109815266905e-05,3.5282109815266905e-05,2.655970069381659e-05,2.710795948100739e-05,5086.128618110758
1756567020000,2025-08-30 18:47:00,8,5,30,15,2.710795948100739e-05,3.4079480367272635e-05,2.6969693347057508e-05,3.0460175958455034e-05,3817.030977038566
1756567080000,2025-08-30 18:48:00,8,5,30,15,3.0460175958455034e-05,3.264016151405685e-05,2.963013857793187e-05,3.0883610588701537e-05,1394.1275684190755
1756567140000,2025-08-30 18:49:00,8,5,30,15,3.0883610588701537e-05,3.1259423163608585e-05,3.0413415678790222e-05,3.056829029409426e-05,238.33346660298196
1756567200000,2025-08-30 18:50:00,8,5,30,15,3.056829029409426e-05,3.1010086106836284e-05,2.9169672618030136e-05,2.918589437172195e-05,567.4755908863117
1756567260000,2025-08-30 18:51:00,8,5,30,15,2.918589437172195e-05,3.4002299967152054e-05,2.918589437172195e-05,3.188502540917706e-05,1601.0727358105853
1756567320000,2025-08-30 18:52:00,8,5,30,15,3.188502540917706e-05,3.5104382530370256e-05,3.188502540917706e-05,3.3786714215497275e-05,1319.775175490746
